103.204.83.50 - - [24/Jul/2016:05:53:56 +0000] "GET /static/img/blog.png HTTP/1.1" 200 359779 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "103.204.83.50"
103.204.83.50 - - [24/Jul/2016:05:53:56 +0000] "GET /static/img/h2ces.png HTTP/1.1" 200 22074 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "103.204.83.50"
103.204.83.50 - - [24/Jul/2016:05:53:56 +0000] "GET /static/img/currency_arbitrage.png HTTP/1.1" 200 58574 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "103.204.83.50"
103.204.83.50 - - [24/Jul/2016:05:57:12 +0000] "GET /posts HTTP/1.1" 301 5 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "103.204.83.50"
103.204.83.50 - - [24/Jul/2016:05:57:12 +0000] "GET /posts/ HTTP/1.1" 200 2005 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "103.204.83.50"
103.204.83.50 - - [24/Jul/2016:05:57:13 +0000] "GET /static/style/css/posts.css HTTP/1.1" 200 356 "http://melvyn.pythonanywhere.com/posts/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "103.204.83.50"
103.204.83.50 - - [24/Jul/2016:05:57:13 +0000] "GET /uploads/illustrations/Tell-a-Story-with-Data-Visualization-1560x878.png HTTP/1.1" 200 415431 "http://melvyn.pythonanywhere.com/posts/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "103.204.83.50"
103.204.83.50 - - [24/Jul/2016:05:57:14 +0000] "GET /uploads/illustrations/food-vegetables-meal-kitchen_Nwzn7mA.jpg HTTP/1.1" 200 347812 "http://melvyn.pythonanywhere.com/posts/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "103.204.83.50"
66.249.81.239 - - [24/Jul/2016:07:25:27 +0000] "GET / HTTP/1.1" 200 1041 "-" "Mozilla/5.0 (Linux; Android 6.0.1; ONE A2003 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "78.52.0.199, 66.249.81.239"
66.249.81.239 - - [24/Jul/2016:07:25:27 +0000] "GET /static/style/css/base.css HTTP/1.1" 200 722 "http://melvyn.pythonanywhere.com/" "Mozilla/5.0 (Linux; Android 6.0.1; ONE A2003 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "78.52.0.199, 66.249.81.239"
66.249.81.245 - - [24/Jul/2016:07:25:27 +0000] "GET /static/style/css/home.css HTTP/1.1" 200 578 "http://melvyn.pythonanywhere.com/" "Mozilla/5.0 (Linux; Android 6.0.1; ONE A2003 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "78.52.0.199, 66.249.81.245"
66.249.81.239 - - [24/Jul/2016:07:25:27 +0000] "GET /static/js/jquery.easing.1.3.js HTTP/1.1" 200 2027 "http://melvyn.pythonanywhere.com/" "Mozilla/5.0 (Linux; Android 6.0.1; ONE A2003 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "78.52.0.199, 66.249.81.239"
66.249.81.239 - - [24/Jul/2016:07:25:27 +0000] "GET /static/img/logo.png HTTP/1.1" 200 10965 "http://melvyn.pythonanywhere.com/" "Mozilla/5.0 (Linux; Android 6.0.1; ONE A2003 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "78.52.0.199, 66.249.81.239"
66.249.81.242 - - [24/Jul/2016:07:25:27 +0000] "GET /static/img/home_illustration.png HTTP/1.1" 200 819937 "http://melvyn.pythonanywhere.com/static/style/css/home.css" "Mozilla/5.0 (Linux; Android 6.0.1; ONE A2003 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "78.52.0.199, 66.249.81.242"
66.249.81.245 - - [24/Jul/2016:07:25:28 +0000] "GET /favicon.ico HTTP/1.1" 404 1110 "http://melvyn.pythonanywhere.com/" "Mozilla/5.0 (Linux; Android 6.0.1; ONE A2003 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "78.52.0.199, 66.249.81.245"
66.249.81.239 - - [24/Jul/2016:07:25:27 +0000] "GET / HTTP/1.1" 200 1041 "-" "Mozilla/5.0 (Linux; Android 6.0.1; ONE A2003 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "78.52.0.199, 66.249.81.239"
66.249.81.239 - - [24/Jul/2016:07:25:27 +0000] "GET /static/style/css/base.css HTTP/1.1" 200 722 "http://melvyn.pythonanywhere.com/" "Mozilla/5.0 (Linux; Android 6.0.1; ONE A2003 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "78.52.0.199, 66.249.81.239"
66.249.81.245 - - [24/Jul/2016:07:25:27 +0000] "GET /static/style/css/home.css HTTP/1.1" 200 578 "http://melvyn.pythonanywhere.com/" "Mozilla/5.0 (Linux; Android 6.0.1; ONE A2003 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "78.52.0.199, 66.249.81.245"
66.249.81.239 - - [24/Jul/2016:07:25:27 +0000] "GET /static/js/jquery.easing.1.3.js HTTP/1.1" 200 2027 "http://melvyn.pythonanywhere.com/" "Mozilla/5.0 (Linux; Android 6.0.1; ONE A2003 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "78.52.0.199, 66.249.81.239"
66.249.81.239 - - [24/Jul/2016:07:25:27 +0000] "GET /static/img/logo.png HTTP/1.1" 200 10965 "http://melvyn.pythonanywhere.com/" "Mozilla/5.0 (Linux; Android 6.0.1; ONE A2003 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "78.52.0.199, 66.249.81.239"
66.249.81.242 - - [24/Jul/2016:07:25:27 +0000] "GET /static/img/home_illustration.png HTTP/1.1" 200 819937 "http://melvyn.pythonanywhere.com/static/style/css/home.css" "Mozilla/5.0 (Linux; Android 6.0.1; ONE A2003 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "78.52.0.199, 66.249.81.242"
